text,segmented_text,gloss,translation,detailed_gloss
"[""Atb'i'tqa'"", 'li', ""sii'.+""]","['at-', ""b'i'"", ""-tqa'"", 'li', ""sii'""]","['PERS', 'DIR', 'PART', 'PREP', 'S']","['Se', 'van', 'a', 'traer', 'leÃ±a.']","['A2S#PERS', 'DIR#DIR', 'PL#PART', 'PREP#PREP', 'S']"
"['-Jataq', 'li', ""sii',+""]","['jat', '-aq', 'li', ""sii'""]","['VI', 'SUF', 'PREP', 'S']","['Bayase', 'a', 'traer', 'leÃ±a.']","['VI', 'PL#SUF', 'PREP#PREP', 'S']"
"['per', 'makataq', 'maq', 'ra', ""chee'.+""]","['peer', 'm-', 'a-', 'kat', '-aq', 'maq', 'ra', ""chee'""]","['ADV', 'TAM', 'PERS', 'VT', 'PART', 'ART', 'PART', 'S']","['Pero', 'no', 'vayan', 'cortar', 'los', 'Ã¡rbolito.']","['ADV', 'IMP#TAM', 'E2S#PERS', 'VT', 'PL#PART', 'ART#ART', 'DIM#PART', 'S']"
"['Porke', 'maq', 'ra', ""chee'"", ""nimi'"", ""jq'iij.+""]","['porke', 'maq', 'ra', ""chee'"", 'nim', ""-i'"", 'j-', ""q'iij""]","['ADV', 'ART', 'PART', 'S', 'ADJ', 'PART', 'PERS', 'S']","['Porque', 'los', 'arbolitos', 'son', 'de', 'mucha', 'importancia.']","['ADV', 'ART#ART', 'DIM#PART', 'S', 'ADJ', 'ENF#PART', 'E3S#PERS', 'S']"
"['I', 'nosol', ""ma'an"", 'taq', 're', 'maq', 'tra', ""chee'.+""]","['i', 'no', 'sol', 'ma-', ""'an"", 'taq', 're', 'maq', 'tra', ""chee'""]","['CONJ', 'ADV', 'ADV', 'TAM', 'VT', 'PART', 'PART', 'ART', 'PART', 'S']","['Y', 'no', 'solo', 'que', 'no', 'hagan', 'daÃ±o', 'a', 'los', 'arbolitos.']","['CONJ#CONJ', 'ADV', 'ADV', 'IMP#TAM', 'VT', 'PL#PART', 'PART#PART', 'ART#ART', 'DIM#PART', 'S']"
"[""Makach'"", 'taq', 'jwich', 'taq', 'ra', ""chee'.+""]","['ma-', ""kach'"", 'taq', 'j-', 'wiich', 'taq', 'ra', ""chee'""]","['PART', 'VT', 'PL', 'PERS', 'S', 'PART', 'PART', 'S']","['No', 'machetÃ©en', 'a', 'los', 'arbolitos.']","['IMP#PART', 'VT', 'PL#PL', 'E3S#PERS', 'S', 'PL#PART', 'DIM#PART', 'S']"
"[""Ri'"", 'li', 'atyuter', 'taq', 'lajasok,+']","[""ri'"", 'li', 'at-', 'yut', '-er', 'taq', 'laj', 'a-', 'sook']","['PART', 'DEM', 'PERS', '???', 'PART', 'PART', 'PREP', 'PERS', 'S']","['Si', 'no', 'se', 'vuelven', 'paralÃ\xadticos', 'en', 'sus', 'camas.']","['AFI#PART', 'DEM#DEM', 'A2S#PERS', '???', 'ITR#PART', 'PL#PART', 'PREP#PREP', 'E2S#PERS', 'S']"
"[""ta'"", ""t'el"", 'awanm', 'atkamk,+']","[""ta'"", ""t'-"", 'el', 'aw-', 'anim', 'at-', 'kam', '-k']","['PART', 'TAM', 'VI', 'PERS', 'S', 'PERS', 'VI', 'SUF']","['No', 'te', 'mueres', 'luego.']","['NEG#PART', 'INC#TAM', 'VI', 'E2S#PERS', 'S', 'A2S#PERS', 'VI', 'SC#SUF']"
"[""cha'"", 'taq.+']","[""cha'"", 'taq']","['VI', 'PART']","['DecÃ\xadan', 'antes.']","['VI', 'PL#PART']"
"['Toons', ""ri'"", 'li,+']","['entoons', ""ri'"", 'li']","['ADV', 'PART', 'DEM']","['Entoces', 'eso', 'es.']","['ADV', 'AFI#PART', 'DEM#DEM']"
"['toos', ""ri'"", 'limaq', 'taq', ""chee'.+""]","['entoons', ""ri'"", 'nim', '-aq', 'taq', ""chee'""]","['ADV', 'DEM', 'ADJ', 'PART', 'PART', 'S']","['Entonces', 'solo', 'los', 'grandes', 'arboles.']","['ADV', 'AFI#DEM', 'ADJ', 'PL#PART', 'PL#PART', 'S']"
"['Toos', 'maa', ""b'ensaj"", ""k'ex"", 're', ""chee'.+""]","['entoons', 'maa', ""b'an"", '-sÃ¡j', ""k'ex"", 're', ""chee'""]","['ADV', 'PART', 'VT', 'SUF', 'ADJ', 'PART', 'S']","['Entonces', 'que', 'no', 'le', 'hagan', 'daÃ±o', 'a', 'los', 'arboles.']","['ADV', 'IMP#PART', 'VT', 'PAS#SUF', 'ADJ', 'PART#PART', 'S']"
"['Porke', ""chee'"", 're', ""nimi'"", ""jq'iij,+""]","['porke', ""chee'"", 're', 'nim', ""-i'"", 'j-', ""q'iij""]","['ADV', 'S', 'PRON', 'ADJ', 'PART', 'PERS', 'S']","['Porque', 'el', 'Ã¡rbol', 'tiene', 'una', 'gran', 'importancia.']","['ADV', 'S', 'PRON', 'ADJ', 'ENF#PART', 'E3S#PERS', 'S']"
"[""nimi'"", 'jpetiik,+']","['nim', ""-i'"", 'j-', 'pe', '-iik']","['ADJ', 'PART', 'PERS', 'VI', 'SUF']","['Es', 'grande', 'su', 'venida.(es', 'de', 'mucha', 'importancia)']","['ADJ', 'ENF#PART', 'E3S#PERS', 'VI', 'SC#SUF']"
"[""cha'"", 'taq.+']","[""cha'"", 'taq']","['VI', 'PART']",['Dicen.'],"['VI', 'PL#PART']"
"[""Chee'"", 'marechtqe,+']","[""chee'"", 'ma-', 'r-', 'ech', '-t', '-qe']","['S', 'PART', 'PERS', 'SREL', 'PART', 'PART']","['Los', 'Ã¡rboles', 'no', 'solo', 'para.']","['S', 'IMP#PART', 'E3S#PERS', 'SREL', 'PL#PART', 'PART#PART']"
"['marechtqe', 'ju...n,+']","['ma-', 'r-', 'ech', '-t', '-qe', 'jun']","['PART', 'PERS', 'SREL', 'PART', 'PART', 'NUM']","['No', 'es', 'solo', 'para', 'uno.']","['IMP#PART', 'E3S#PERS', 'SREL', 'PL#PART', 'PART#PART', 'NUM']"
"['marechtqe', ""kib',+""]","['ma-', 'r-', 'ech', '-t', '-qe', ""kib'""]","['PART', 'PERS', 'SREL', 'PART', 'PART', 'NUM']","['No', 'solo', 'es', 'para', 'dos.']","['IMP#PART', 'E3S#PERS', 'SREL', 'PL#PART', 'PART#PART', 'NUM']"
"[""uxub'"", ""q'iij"", 'jwich.+']","[""uxub'"", ""q'iij"", 'j-', 'wiich']","['NUM', 'S', 'PERS', 'S']","['Tres', 'dias', 'nada', 'mÃ¡s.']","['NUM', 'S', 'E3S#PERS', 'S']"
"['Noke', ""nimi'"", ""jq'iij,+""]","['noke', 'nim', ""-i'"", 'j-', ""q'iij""]","['ADV', 'ADJ', 'PART', 'PERS', 'S']","['Es', 'de', 'mucha', 'imporatancia.']","['ADV', 'ADJ', 'ENF#PART', 'E3S#PERS', 'S']"
"[""cha'"", 'taq.+']","[""cha'"", 'taq']","['VI', 'PART']",['Dicen.'],"['VI', 'PL#PART']"
"['Ri', 'rere', ""tijya's,+""]","['ri', 're', '-re', 't-', 'j-', ""ye'"", ""-si'""]","['PART', 'PERS', 'PART', 'TAM', 'PERS', 'VT', 'S']","['Ã\x89l', 'es', 'quien', 'nos', 'da', 'la', 'leÃ±a.']","['AFI#PART', 'E3S#PERS', 'PART#PART', 'INC#TAM', 'E3S#PERS', 'VT', 'S']"
"[""tijya'"", 'teew,+']","['ti-', 'j-', ""ya'"", 'teew']","['TAM', 'PERS', 'VT', 'S']","['Nos', 'da', 'aire.']","['INC#TAM', 'E3S#PERS', 'VT', 'S']"
"[""cha'"", 'taq.+']","[""cha'"", 'taq']","['VI', 'PART']",['Dicen.'],"['VI', 'PL#PART']"
"[""Tijya'"", 'teew,', 'teew', 'rech', ""taqajik'"", ""qÃºxb'.+""]","['ti-', 'j-', ""ya'"", 'teew', 'teew', 'r-', 'ech', 'ta-', 'qa-', 'jik', 'q-', ""Ãºxb'""]","['TAM', 'PERS', 'VT', 'S', 'S', 'PERS', 'SREL', 'TAM', 'PERS', 'VT', 'PERS', 'S']","['Da', 'aire', ',', 'aire', 'para', 'que', 'jalemos', 'nuestro', 'aliento.']","['INC#TAM', 'E3S#PERS', 'VT', 'S', 'S', 'E3S#PERS', 'SR#srel', 'INC#TAM', 'E1P#PERS', 'VT', 'E1P#PERS', 'S']"
"['Lamaas', ""ta'"", 'tpew', 'teew.+']","['lamaas', ""ta'"", 't-', 'pe', '-w', 'teew']","['ADV', 'PART', 'TAM', 'VI', 'PART', 'S']","['Donde', 'no', 'viene', 'el', 'aire.']","['ADV', 'NEG#PART', 'INC#TAM', 'VI', 'PART#PART', 'S']"
"['Noke', 'mism', ""jwi'li'"", ""chee',+""]","['noke', 'miim', 'j-', ""wi'l"", ""-i'"", ""chee'""]","['ADV', 'ADV', 'PERS', 'SREL', 'PART', 'S']","['Es', 'por', 'lo@mismo,', 'por', 'los', 'Ã¡rboles.']","['ADV', 'ADV', 'E3S#PERS', 'SREL', 'ENF#PART', 'S']"
"['tons', ""ri'"", 'li', ""tijb'ij"", 'taq', 'qamaam', ""qet'"", 'ooj', 'Ã³jor', 'taq', 'tziij.+']","['entoons', ""ri'"", 'li', 'ti-', 'j-', ""b'ij"", 'taq', 'qa-', 'maam', 'q-', ""et'"", 'ooj', 'Ã³jor', 'taq', 'tziij']","['ADV', 'PART', 'DEM', 'TAM', 'PERS', 'VI', 'PART', 'PERS', 'S', 'PERS', 'S', 'PRON', 'ADV', 'PART', 'S']","['Entonces', 'eso', 'es', 'loque', 'decÃ\xadan', 'nuestros', 'abuelos', 'antiguamente.']","['ADV', 'AFI#PART', 'DEM#DEM', 'INC#TAM', 'E3S#PERS', 'VI', 'PL#PART', 'E1P#PERS', 'S', 'E1P#PERS', 'S', 'PRON', 'ADV', 'PL#PART', 'S']"
"['Tose', 'pwes', ""mxaqtb'ka'"", 'Ã³jor', 'taq', 'tziij.+']","['entoons', 'pwees', 'm-', 'xaq-', 't-', ""b'"", ""-ka'"", 'Ã³jor', 'taq', 'tziij']","['ADV', 'ADV', 'PART', 'PART', 'TAM', 'DIR', 'PART', 'ADV', 'PL', 'S']","['Entonces', 'pues', 'no', 'solo', 'antiguamente.']","['ADV', 'ADV', 'IMP#PART', 'PART#PART', 'INC#TAM', 'DIR#DIR', 'PART#PART', 'ADV', 'PL#PL', 'S']"
"['Tambyeen', 'tkojsaj', 'li', ""tzko'ri"", ""wi'"", ""laqaxo'l.+""]","['tambyeen', 't-', 'koj', '-saj', 'li', 'tz-', ""ko'"", '-ri', ""wi'"", 'laj-', 'qa-', ""xo'l""]","['ADV', 'TAM', 'VT', 'SUF', 'DEM', '???', 'PART', 'PART', 'EXS', 'PREP', 'PERS', 'SREL']","['TambiÃ©n', 'se', 'usa', 'entre', 'nosotros', 'existe.']","['ADV', 'INC#TAM', 'VT', 'PAS#SUF', 'DEM#DEM', '???', 'PART#PART', 'AFI#PART', 'EXS#EXS', 'PREP#PREP', 'E1P#PERS', 'SREL']"
"[""Li'"", ""wetji'noon"", 'chi', 'qe,+']","['li', 'wet-', ""ji'non"", 'chi', 'qe']","['DEM', 'ADV', 'PART', 'PREP', 'PART']","['Si', 'fuera', 'nosotros.']","['DEM#DEM', 'COND#ADV', 'AFI#PART', 'PREP#PREP', 'PART#PART']"
"['per', 'kom', 'ma', ""-jita'"", ""chki'"", 'non', 're', 'qÃ\xadjil', ""qatz'Ã¡qt.+""]","['per', 'kom', 'ma', ""jita'"", ""chki'"", 'jilon', 're', 'q-', 'ijiil', 'qa-', ""tz'aqt""]","['ADV', 'PART', 'PART', 'PART', 'PART', 'PART', 'PART', 'PERS', 'S', 'PERS', 'S']","['Pero', 'como', 'ya', 'no', 'es', 'asi', 'para', 'nuestros', 'semejantes.']","['ADV', 'PART', 'IMP#PART', 'NEG#PART', 'PART#PART', 'AFI#PART', 'PART#PART', 'E1P#PERS', 'S', 'E1P#PERS', 'S']"
"[""Masi'"", ""k'is"", 'sach', 'taq', ""che'.+""]","['mas', ""-i'"", ""k'is"", 'sach', 'taq', ""che'""]","['ADV', 'PART', 'PART', 'VT', 'PART', 'PART']","['Se', 'acabaron', 'los', 'Ã', 'rboles.']","['ADV', 'ENF#PART', 'PART#PART', 'VT', 'PL#PART', 'PART#PART']"
"[""Ta'"", ""chki'"", ""tijye'"", 'taq', ""jq'iij.+""]","[""ta'"", ""chki'"", 'ti-', 'j-', ""ye'"", 'taq', 'j-', ""q'iij""]","['PART', 'PART', 'TAM', 'PERS', 'VT', 'PART', 'PERS', 'S']","['Ya', 'no', 'le', 'dan', 'importancia.']","['NEG#PART', 'PART#PART', 'INC#TAM', 'E3S#PERS', 'VT', 'PL#PART', 'E3S#PERS', 'S']"
"['I', ""chee'"", ""tichkoni'n"", 'komoo', ""tijb'ij"", 'taq', 'pwes.+']","['i', ""chee'"", 'ti-', 'chkon', ""-i'n"", 'koom', 'ti-', 'j-', ""b'ij"", 'taq', 'pwees']","['CONJ', 'S', 'TAM', 'VI', 'PART', 'PART', 'TAM', 'PERS', 'VI', 'PART', 'ADV']","['Y', 'los', 'Ã¡rboles', 'sirve', 'como', 'dicen', 'pues.']","['CONJ#CONJ', 'S', 'INC#TAM', 'VI', 'ENF#PART', 'PART', 'INC#TAM', 'E3S#PERS', 'VI', 'PL#PART', 'ADV']"
"['Ay', 'Diyoos', 'miyo', ""tijb'ij"", 'taq', 'li', ""tanta'in,+""]","['ay', 'Dyoos', 'miyo', 'ti-', 'j-', ""b'ij"", 'taq', 'li', 't-', 'an-', 'ta', ""-'in""]","['VOC', 'S', 'S', 'TAM', 'PERS', 'VI', 'PART', 'PREP', 'TAM', 'PERS', 'VI', 'PRON']","['Hay', 'Dios', 'mio', 'loque', 'dicen', 'oygo', 'yo.']","['VOC', 'S', 'S', 'INC#TAM', 'E3S#PERS', 'VI', 'PL#PART', 'PREP#PREP', 'INC#TAM', 'E1S#PERS', 'VI', 'PRON']"
"['porke', 'iin', 'pok', ""k'ex"", 'lajwanim.+']","['porke', 'iin', 'pok', ""k'ex"", 'laj-', 'w-', 'anim']","['ADV', 'PRON', 'ADV', 'ADJ', 'PREP', 'PERS', 'S']","['Porque', 'a', 'mi', 'me', 'duele', 'en', 'el', 'corazÃ³n.']","['ADV', 'PRON', 'ADV', 'ADJ', 'PREP', 'E1S#PERS', 'S']"
"[""Tijb'ij"", 'taq', 're', 'staq', ""chee'"", 'komo,+']","['ti-', 'j-', ""b'ij"", 'taq', 'r-', 'e', 'staq', ""chee'"", 'koom']","['TAM', 'PERS', 'VI', 'PART', 'PERS', 'SREL', 'PART', 'S', 'ADV']","['Le', 'dicen', 'a', 'los', 'pobres', 'Ã¡rboles', 'como.']","['INC#TAM', 'E3S#PERS', 'VI', 'PL#PART', 'E3S#PERS', 'SREL', 'PL#PART', 'S', 'ADV']"
"[""tijyoq'"", 'taq,', 'taq', 'ra', 'jfoot', 'qaqaaj', 'Diyoos.+']","['ti-', 'j-', ""yoq'"", 'taq', 'taq', 'ra', 'j-', 'foot', 'qa-', 'qaaj', 'Dyoos']","['TAM', 'PERS', 'VT', 'PART', 'PART', 'PART', 'PERS', 'S', 'PERS', 'S', 'S']","['Matratan', 'la', 'foto', 'de', 'nuestro', 'padre', 'Dios.', '(imagen)']","['INC#TAM', 'E3S#PERS', 'VT', 'PL#PART', 'PL#PART', 'DIM#PART', 'E3S#PERS', 'S', 'E1P#PERS', 'S', 'S']"
"['-Neen', ""chki'"", ""tab'an"", 'taq', ""jq'iij"", 'man', ""chee'.+""]","['neen', ""chki'"", 't-', 'a-', ""b'an"", 'taq', 'j-', ""q'iij"", 'man', ""chee'""]","['PART', 'PART', 'TAM', 'PERS', 'VT', 'PART', 'PERS', 'S', 'ART', 'S']","['Porque', 'selebran', 'el', 'dia', 'del', 'palo.']","['INT#PART', 'PART#PART', 'INC#TAM', 'E2S#PERS', 'VT', 'PL#PART', 'E3S#PERS', 'S', 'ART#ART', 'S']"
"[""Chee'"", ""ka'"", 'li', 'jun', ""k'eer"", 'regla', ""ka'"", 'li,+']","[""chee'"", ""ka'"", 'li', 'jun', ""k'eer"", 'regla', ""ka'"", 'li']","['S', 'PART', 'DEM', 'NUM', 'S', 'S', 'PART', 'DEM']","['Eso', 'es', 'madera,', 'un', 'pedazo', 'de', 'regla', 'es', 'nada', 'mÃ¡s.']","['S', 'PART#PART', 'DEM#DEM', 'NUM', 'S', 'S', 'PART#PART', 'DEM#DEM']"
"[""cha'"", 'taq', 're.', 'A...y', 'Diyoos', 'per', 'weyin,', 'pok', ""k'ex"", ""tib'ew"", 'chwe.+']","[""cha'"", 'taq', 're', 'ay', 'Dyoos', 'per', 'w-', 'e', '-in', 'pok', ""k'ex"", 'ti-', ""b'e"", '-w', 'ch-', 'we']","['VI', 'PART', 'PART', 'VOC', 'S', 'ADV', 'PERS', 'SREL', 'PRON', 'ADV', 'ADJ', 'TAM', 'VI', 'SUF', 'TAM', 'PART']","['AsÃ\xad', 'le', 'dicen,', 'hay', 'Dios', 'pero', 'para', 'mi,', 'es', 'muy', 'doloroso.']","['VI', 'PL#PART', 'PART#PART', 'VOC', 'S', 'ADV', 'E1S#PERS', 'SREL', 'PRON', 'ADV', 'ADJ', 'INC#TAM', 'VI', 'SC#SUF', 'INC#TAM', 'COND#PART']"
"['Porke', ""marita'"", 'jcholÃ¡jl', 'tiyolow', 'taq.+']","['porke', 'ma-', 'ri-', ""ta'"", 'j-', 'chola', '-j', '-l', 'ti-', 'yol', '-ow', 'taq']","['ADV', 'PART', 'PERS', 'PART', 'PERS', 'ADV', 'SUF', '???', 'TAM', 'VI', 'SUF', 'PART']","['Porque', 'no', 'es', 'corecto', 'lo', 'que', 'dicen.']","['ADV', 'IMP#PART', 'E3S#PERS', 'NEG#PART', 'E3S#PERS', 'ADV', 'SC#SUF', '???', 'INC#TAM', 'VI', 'AP#SUF', 'PL#PART']"
"['I...', 'pwes', ""chee'"", ""nimi',+""]","['i', 'pwes', ""chee'"", 'nim', ""-i'""]","['CONJ', 'ADV', 'S', 'ADJ', 'PART']","['Y', 'pues', 'palo', 'o', 'madera', 'es', 'muy', 'sagrada.']","['CONJ#CONJ', 'ADV', 'S', 'ADJ', 'ENF#PART']"
"[""nimi'"", 'jpetik', ""tqayoq'"", 'jun', ""chee',+""]","['nim', ""-i'"", 'j-', 'pet', '-ik', 't-', 'qa-', ""yoq'"", 'jun', ""chee'""]","['ADJ', 'PART', 'PERS', 'VI', 'SUF', 'TAM', 'PERS', 'VT', 'NUM', 'S']","['Es', 'algo', 'sagrado,', 'y', 'nosotros', 'maltratamos', 'a', 'los', 'Ã¡rboles.']","['ADJ', 'ENF#PART', 'E3S#PERS', 'VI', 'SC#SUF', 'INC#TAM', 'E1P#PERS', 'VT', 'NUM', 'S']"
"[""nik'i"", 'pech', 'jun', 'tziij,+']","[""nik'"", ""-i'"", 'pech', 'jun', 'tziij']","['ADJ', 'PART', 'S', 'NUM', 'S']","['Es', 'igual', 'a', 'una', 'palabra.']","['ADJ', 'ENF#PART', 'S', 'NUM', 'S']"
"['kondo', ""kita'"", 'jcholÃ¡jl', 'ojyolowk.+']","['kondo', ""kita'"", 'j-', 'cholÃ¡', '-j', '-l', 'oj-', 'yol', '-ow', '-ik']","['ADV', 'PART', 'PERS', 'ADV', 'SUF', '???', 'PERS', 'VI', 'SUF', 'SUF']","['Cuando', 'no', 'hay', 'como', 'platicar.']","['ADV', 'PART#PART', 'E3S#PERS', 'ADV', 'SC#SUF', '???', 'E1P#PERS', 'VI', 'AP#SUF', 'SC#SUF']"
"['Tosee', ""qab'iji'n"", 'pure', 'aay', ""ta'"", ""pixb'likat"", 'ooj,+']","['antonses', 'qa-', ""b'ij"", ""-i'n"", 'puro', 'aay', ""ta'"", ""pixb'"", '(lik)', 'at', 'ooj']","['ADV', 'PERS', 'VT', 'PART', 'ADV', 'VOC', 'PART', 'S', '???', 'PRON', 'PRON']","['Entonces', 'decimos', 'que', 'uno', 'no', 'esta', 'educado.']","['ADV', 'E1P#PERS', 'VT', 'ENF#PART', 'ADV', 'VOC', 'NEG#PART', 'S', '???', 'PRON', 'PRON']"
"[""cha'.+""]","[""cha'""]",['VI'],['Dice.'],['VI']
"['Toos', ""jchuchi'"", 'jun', 'kistyan', ""tqab'ij"", ""b'ijb'ik.+""]","['entoons', 'j-', 'chuch', ""-i'"", 'jun', 'kirtyaan', 't-', 'qa-', ""b'ij"", ""b'i"", '-j', ""-b'i"", '-k']","['ADV', 'PERS', 'S', 'PART', 'NUM', 'S', 'TAM', 'PERS', 'VI', 'VI', 'PERS', 'DIR', 'SUF']","['Entonces', 'es', 'la', 'mamÃ¡', 'de', 'una', 'persona', 'loque', 'mencionamos.']","['ADV', 'E3S#PERS', 'S', 'ENF#PART', 'NUM', 'S', 'INC#TAM', 'E1P#PERS', 'VI', 'VI', 'E2S#PERS', 'DIR#DIR', 'SC#SUF']"
"[""Ri'"", 'li', 'tqa...', ""ri',+""]","[""ri'"", 'li', 't', '-qa', ""ri'""]","['PART', 'DEM', 'TAM', 'PERS', 'PART']","['Eso', 'es', 'loque.']","['AFI#PART', 'DEM#DEM', 'INC#TAM', 'E1P#PERS', 'AFI#PART']"
"['li', ""tqayoq'b'ik.+""]","['li', 't-', 'qa-', ""yoq'"", ""-b'"", '-ik']","['DEM', 'TAM', 'PERS', 'VT', 'DIR', 'SUF']","['Eso', 'es', 'loque', 'estamos', 'maltratando.']","['DEM#DEM', 'INC#TAM', 'E1P#PERS', 'VT', 'DIR#DIR', 'SC#SUF']"
"['Toos', 'jinon', 'li', ""tqab'ij"", 're', ""chee'"", 'ooj,+']","['entoons', 'jilon', 'li', 't-', 'qa-', ""b'ij"", 're', ""chee'"", 'ooj']","['ADV', 'PART', 'DEM', 'TAM', 'PERS', 'VT', 'PRON', 'S', 'PRON']","['Entonces', 'asÃ\xad', 'le', 'decimos', 'a', 'los', 'arboles.']","['ADV', 'AFI#PART', 'DEM#DEM', 'INC#TAM', 'E1P#PERS', 'VT', 'PRON', 'S', 'PRON']"
"[""cha'"", 're', ""chee'.+""]","[""cha'"", 're', ""chee'""]","['VI', 'PRON', 'S']","['Le', 'dicen', 'al', 'Ã¡rbol.']","['VI', 'PRON', 'S']"
"['Toos', ""ta'"", 'moo', ""tqyoq'"", ""chee',+""]","['entoons', ""ta'"", 'moo', 't-', 'q-', ""yoq'"", ""chee'""]","['ADV', 'PART', 'ADV', 'TAM', 'PERS', 'VT', 'S']","['Entonces', 'no', 'podemo', 'maltratar', 'a', 'los', 'Ã¡rboles.']","['ADV', 'NEG#PART', 'ADV', 'INC#TAM', 'E1P#PERS', 'VT', 'S']"
"['porke', ""ri'"", ""chee'"", ""wi'"", ""chub'"", 'qcho...ch.+']","['porke', ""ri'"", ""chee'"", ""wi'"", ""chub'"", 'q-', 'ichooch']","['ADV', 'PART', 'S', 'EXS', 'SREL', 'PERS', 'S']","['porque', 'es', 'el', 'que', 'tenemos', 'sobre', 'nuestras', 'casas.']","['ADV', 'AFI#PART', 'S', 'EXS#EXS', 'SREL', 'E1P#PERS', 'S']"
"['I', ""ri'"", 'tyaw', ""quxb',+""]","['i', ""ri'"", 't-', 'ya', '-w', 'q-', ""Ãºxub'""]","['CONJ', 'PART', 'TAM', 'VT', 'PART', 'PERS', 'S']","['Y', 'es', 'el', 'que', 'nos', 'da', 'aliento.']","['CONJ#CONJ', 'AFI#PART', 'INC#TAM', 'VT', 'PART#PART', 'E1P#PERS', 'S']"
"['mat', ""wi'"", ""chee',+""]","['mat', ""wi'"", ""chee'""]","['PART', 'EXS', 'S']","['Si', 'no', 'existieran', 'los', 'Ã¡rboles.']","['PART#PART', 'EXS#EXS', 'S']"
"['sol', ""q'aaq'"", 'chaq', 'sewr', 'ooj', ""jiq'"", 'li', ""q'aaq'.+""]","['sol', ""q'aaq'"", 'chaq', 'seguro', 'ooj', ""jiq'"", 'li', ""q'aaq'""]","['PART', 'ADJ', 'PART', 'ADV', 'PRON', 'VI', 'PREP', 'S']","['Solo', 'temperatura', 'o', 'calor', 'seguro', 'nosotros', 'nos', 'vamos', 'a', 'ahogar', 'con', 'tanto', 'calor.']","['PART#PART', 'ADJ', 'PL#PART', 'ADV', 'PRON', 'VI', 'PREP', 'S']"
"[""Jq'aaq'al"", 'qa-qaaj', ""q'iij"", 'qa-qaaj', 'padre', 'etern,+']","['j-', ""q'aaq'"", '-al', 'qa-', 'qaaj', ""q'iij"", 'qa-', 'qaaj', 'padre', 'etern']","['PERS', 'ADJ', 'SUF', 'PERS', 'S', 'S', 'PERS', 'S', 'S', 'S']","['que', 'calor', 'de', 'nuestro', 'padre', 'sol', 'nuestro', 'padre', 'eterno.']","['E3S#PERS', 'ADJ', 'SAB#SUF', 'E1P#PERS', 'S', 'S', 'E1P#PERS', 'S', 'S', 'S']"
"[""tijb'ij"", 'taq', 'qa-qaaj,', 'qamaam', ""qeet'.+""]","['ti-', 'j-', ""b'i"", 'taq', 'qa-', 'qaaj', 'qa-', 'maam', 'q-', ""eet'""]","['TAM', 'PERS', 'VT', 'PART', 'PERS', 'S', 'PERS', 'S', 'PERS', 'S']","['Dicen', 'nuestros', 'padres', 'y', 'abuelos', 'y', 'abuelas.']","['INC#TAM', 'E3S#PERS', 'VT', 'PL#PART', 'E1P#PERS', 'S', 'E1P#PERS', 'S', 'E3S#PERS', 'S']"
"['Ã\x93jor,', 'Ã³jor', 'taq', 'tziij,+']","['Ã³jor', 'Ã³jor', 'taq', 'tziij']","['ADV', 'ADV', 'PART', 'S']","['Antiguamente', 'antiguamente.']","['ADV', 'ADV', 'PL#PART', 'S']"
"['toos', ""chee'"", 'pwes', 're', 'ri,', ""ri'"", ""tisik'in"", 'teew,+']","['entoons', ""chee'"", 'pwees', 're', 'ri', ""ri'"", 'ti-', ""sik'"", '-in', 'teew']","['ADV', 'S', 'ADV', 'PRON', 'PART', 'PART', 'TAM', 'VT', '???', 'S']","['Entonces', 'los', 'Ã¡rboles', 'son', 'quienes', 'llaman', 'el', 'Ã¡ire.']","['ADV', 'S', 'ADV', 'PRON', 'PART#PART', 'AFI#PART', 'INC#TAM', 'VT', '???', 'S']"
"[""ri'"", ""tya'w"", ""quxb',+""]","[""ri'"", 't-', ""ya'"", '-w', 'q-', ""uxiib'""]","['PART', 'TAM', 'VT', 'PART', 'PERS', 'SREL']","['Ã\x89l', 'es', 'el', 'que', 'nos', 'da', 'aliento.']","['AFI#PART', 'INC#TAM', 'VT', 'PART#PART', 'E1P#PERS', 'SREL']"
"[""ri'"", ""tb'enow"", 'respirar', 'qa,', 'qa', 'pulmon.+']","[""ri'"", 't-', ""b'an"", '-ow', 'respirar', 'qa', 'qe', 'pulmon']","['PART', 'TAM', 'VT', 'SUF', 'VT', 'PERS', 'PART', 'S']","['Es', 'el', 'que', 'nos', 'hace', 'respirar', 'nuestro', 'pulmon.']","['AFI#PART', 'INC#TAM', 'VT', 'AP#SUF', 'VT', 'E1P#PERS', 'PART#PART', 'S']"
"[""Ri'"", 'li', ""tb'enow"", ""nimi'"", ""jq'iij"", ""qache'.+""]","[""ri'"", 'li', 't-', ""b'en"", '-ow', 'nim', ""-i'"", 'j-', ""q'iij"", 'qa-', ""che'""]","['PART', 'DEM', 'TAM', 'VT', 'SUF', 'ADJ', 'PART', 'PERS', 'S', 'PERS', 'S']","['Eso', 'es', 'el', 'que', 'hace', 'grande', 'o', 'sagrado', 'a', 'nuestros', 'Ã¡rboles.']","['AFI#PART', 'DEM#DEM', 'INC#TAM', 'VT', 'AP#SUF', 'ADJ', 'ENF#PART', 'E3S#PERS', 'S', 'E1P#PERS', 'S']"
